Crop Name,Price (₹/kg)
Bajra(Pearl Millet/Cumbu),22.7
Barley(Jau),24.24
Jowar(Sorghum),35.0
Maize,27.93
Paddy(Common),26.48
Ragi(Finger Millet),43.73
Wheat,26.78
Cotton,88.34
Copra,205.44
Groundnut,76.37
Mustard,72.87
Niger Seed(Ramtil),105.0
Safflower,49.18
"Sesamum(Sesame,Gingelly,Til)",125.31
Soyabean,56.52
Sunflower/Sunflower Seed,75.71
Bengal Gram(Gram)(Whole),63.82
Black Gram(Urd Beans)(Whole),88.67
Green Gram(Moong)(Whole),85.77
Lentil(Masur)(Whole),88.93
Red gram/Arhar/Tur(whole),82.4
Onion,37.88
Potato,14.54
Tomato,19.8
